NAME,BODY_AVG,BODY_MAX,HEAD_AVG,HEAD_MAX,COUNT
00438,2.0,3,1.0,1,22410
00445,1.0,1,1.0,1,1222
00446,1.1018889524899829,3,1.0,1,1747
00448,1.2786603124172624,3,1.0,1,67986
00449,1.1503237742830712,3,1.0,1,2162
00450,1.0359072132189386,3,1.0,1,3147
00451,1.0,1,1.0,1,2862
00452,1.0,1,1.0,1,4116
00454,1.9374813042177685,3,1.0,1,3343
00457,1.0,1,1.0,1,1604
00459,1.0603001364256481,3,1.0,1,7330
00460,1.0,1,1.0,1,11064
00462,1.9172622721808907,3,1.0,1,123124
00463,1.9406705210050286,3,1.0,1,119519
00464,1.0,1,1.0,1,6
00465,1.0,1,1.0,1,132
00468,1.0,1,1.0,1,720
00469,1.0,1,1.0,1,878
00470,1.0,1,1.0,1,75146
00471,1.0,1,1.0,1,78977
00472,1.0,1,1.0,1,75146
00473,1.0,1,1.0,1,78977
00474,1.0,1,1.0,1,72
00475,1.0,1,1.0,1,83
00476,1.6208133971291867,4,1.0,1,5016
00477,1.0,1,1.0,1,10606
00479,1.302496328928047,3,1.0,1,681
00480,1.195054945054945,3,1.0,1,728
00483,1.3115002965012847,3,1.0,1,126475
00484,1.1148271507786909,3,1.0,1,109286
00485,1.9785360484314805,3,1.0,1,5451
00486,1.2913837654816003,3,1.0,1,56115
00487,1.2244236945886242,3,1.0,1,73789
00488,1.2930264819392818,3,1.0,1,56227
00489,1.2738022794927881,3,1.0,1,60803
00496,1.0,1,1.0,1,3220
00497,1.0,1,1.0,1,23
00498,1.0,1,1.0,1,23
00500,1.970702677958343,4,1.0,1,4369
00502,1.0036344755970925,4,1.0,1,1926
00504,1.03725782414307,3,1.0,1,671
00505,1.0,1,1.0,1,151
00508,1.0210526315789474,3,1.0,1,285
00511,1.1066098081023454,3,1.0,1,469
00512,1.0009460737937559,2,1.0,1,1057
00513,1.0,1,1.0,1,309
00514,1.0,1,1.0,1,309
00515,1.0,1,1.0,1,2366
00518,1.7538726333907058,4,1.0,1,16268
00519,1.0,1,1.0,1,93
00520,1.0,1,1.0,1,91
00521,1.0,1,1.0,1,3640
00522,1.0,1,1.0,1,169
00523,1.0,1,1.0,1,169
00526,1.0,1,1.0,1,282
00527,1.0,1,1.0,1,4
00530,1.0,1,1.0,1,10609
00531,1.0,1,1.0,1,11839
00532,1.0177985456645577,3,1.0,1,38093
00533,1.2146198988560457,3,1.0,1,73954
00534,2.0,3,1.0,1,630
00535,1.767464928439847,3,1.0,1,7057
00536,1.0092420430930766,3,1.0,1,36572
00537,1.0071366906474821,3,1.0,1,52125
00538,2.0,3,1.0,1,204
00539,2.0,3,1.0,1,210
00540,1.0828246983676366,3,1.0,1,14090
