NAME,NFTGD_NB,FTGD_NB,SUBSUMED,NEW_FTGD_NB,NEW_NFTGD_NB,NEW_OUTPUT_SIZE,OUTPUT_SIZE,NEW_RTGD_BSK,BODY_SK_ATOMS_MAX,EVOL_COUNT,EVOL_TIME,SUMB_TIME,TIME
00716,2602,605,2315,450,64300,0,605,N/A,N/A,N/A,N/A,1011,5520
00717,14,43,13,5,30,0,43,N/A,N/A,N/A,N/A,4,66
00718,358,127,320,74,2106,0,127,N/A,N/A,N/A,N/A,43,402
00719,1938,421,1729,367,36238,0,421,N/A,N/A,N/A,N/A,599,3617
00720,720,254,636,142,6737,0,254,N/A,N/A,N/A,N/A,142,987
00721,848,213,718,152,9357,0,213,N/A,N/A,N/A,N/A,168,1338
00722,1636,490,1507,272,26457,0,490,N/A,N/A,N/A,N/A,419,3201
00723,914,249,810,199,8592,0,249,N/A,N/A,N/A,N/A,156,1304
00724,3650,947,3253,474,92586,0,947,N/A,N/A,N/A,N/A,1532,8209
00725,14,44,15,7,28,0,44,N/A,N/A,N/A,N/A,4,66
00726,1124,388,1054,188,12488,0,388,N/A,N/A,N/A,N/A,214,1692
00727,3922,985,3517,475,88444,0,985,N/A,N/A,N/A,N/A,1582,8136
00728,2774,881,3657,1708,91905,476,1357,N/A,N/A,N/A,N/A,1533,7479
00729,200,94,182,42,834,0,94,N/A,N/A,N/A,N/A,25,247
00730,8,42,8,4,15,0,42,N/A,N/A,N/A,N/A,3,58
00731,602,173,546,119,4590,0,173,N/A,N/A,N/A,N/A,95,860
00732,1560,391,1361,298,24921,0,391,N/A,N/A,N/A,N/A,330,2510
00733,2992,676,2574,548,72608,0,676,N/A,N/A,N/A,N/A,1132,7104
00734,278,114,261,86,1273,0,114,N/A,N/A,N/A,N/A,41,371
00735,1082,287,964,234,13117,0,287,N/A,N/A,N/A,N/A,263,1882
00736,22,48,23,7,50,0,48,N/A,N/A,N/A,N/A,6,85
00737,854,228,721,193,8956,0,228,N/A,N/A,N/A,N/A,173,1445
00738,622,211,546,131,4548,0,211,N/A,N/A,N/A,N/A,80,756
00739,936,271,844,171,9378,0,271,N/A,N/A,N/A,N/A,157,1362
00740,1030,316,960,266,11449,0,316,N/A,N/A,N/A,N/A,194,1675
00741,3424,722,3047,496,71473,0,722,N/A,N/A,N/A,N/A,1195,7046
00742,726,198,623,125,7402,0,198,N/A,N/A,N/A,N/A,138,1117
00743,2868,961,2661,307,69653,0,961,N/A,N/A,N/A,N/A,1100,5815
00744,922,303,798,185,9139,0,303,N/A,N/A,N/A,N/A,155,1339
00745,1382,335,1195,236,19139,0,335,N/A,N/A,N/A,N/A,308,2540
00746,2130,468,1853,340,38438,0,468,N/A,N/A,N/A,N/A,611,4065
00747,1822,437,1555,304,28948,0,437,N/A,N/A,N/A,N/A,499,3414
00748,820,271,736,176,8655,0,271,N/A,N/A,N/A,N/A,147,1219
00749,1802,517,1627,286,35702,0,517,N/A,N/A,N/A,N/A,582,3556
00750,872,283,741,143,7408,0,283,N/A,N/A,N/A,N/A,158,1168
00751,940,253,822,194,11113,0,253,N/A,N/A,N/A,N/A,187,1555
00752,3346,788,2904,429,90777,0,788,N/A,N/A,N/A,N/A,1556,7718
00753,808,221,696,159,8086,0,221,N/A,N/A,N/A,N/A,143,1198
00754,3742,973,5066,2165,144539,631,1604,N/A,N/A,N/A,N/A,2537,12037
00755,1794,471,1627,300,35136,0,471,N/A,N/A,N/A,N/A,514,3978
00756,2356,597,2067,397,53503,0,597,N/A,N/A,N/A,N/A,767,4677
00759,5064,5317,2885,455,17130,88,5405,N/A,N/A,N/A,N/A,215,1414
00763,248,311,116,195,167,58,369,N/A,N/A,N/A,N/A,11,279
00766,436,1845,826,18915,1348,18336,20181,N/A,N/A,N/A,N/A,519,3435
00768,5064,5752,2885,455,17130,88,5840,N/A,N/A,N/A,N/A,202,1427
00769,5064,2653,236,0,12215,0,2653,N/A,N/A,N/A,N/A,143,1067
00770,5064,2666,2885,455,17130,88,2754,N/A,N/A,N/A,N/A,217,1338
00772,12,653,279,6,686,3,656,N/A,N/A,N/A,N/A,18,197
00773,103,577,859,289,1275,43,620,N/A,N/A,N/A,N/A,18,210
00784,114,987,609,264,949,26,1013,N/A,N/A,N/A,N/A,11,197
00788,22,2289,171,10,487,7,2296,N/A,N/A,N/A,N/A,11,222
00789,24,2342,127,11,366,9,2351,N/A,N/A,N/A,N/A,9,231
00790,18,2550,124,8,349,6,2556,N/A,N/A,N/A,N/A,9,236
00793,313,135,1522,534,2243,98,233,N/A,N/A,N/A,N/A,34,373
