NAME,AXIOM_NB,SUBSUMED,NEW_FTGD_NB,NEW_NFTGD_NB,OUTPUT_SIZE,TIME
00272,77,0,0,0,77,226
00273,71,0,0,0,71,222
00274,94,0,0,0,96,235
00275,126,0,0,0,127,241
00276,13,0,0,0,13,206
00277,95,0,0,0,101,225
00278,0,0,0,0,0,190
00279,194,0,93,126,171,276
00280,257,0,0,0,257,248
00281,326,159,351,323,355,294
00282,839,1379,1425,2131,980,387
00283,926,1762,1970,2467,1097,424
00284,1149,2199,2241,3299,1357,457
00285,111183,4367,40775,134556,0,TIMEOUT
00286,46940,9063,49233,45147,47422,65637
00287,25,0,0,0,26,210
00288,84,0,0,0,84,230
00289,35,0,0,0,35,212
00290,139,34,104,102,136,269
00292,25,0,0,0,31,217
00293,2743,0,1371,1399,2728,478
00294,38,0,0,0,41,221
00295,42,0,0,0,42,214
00296,75,41,65,98,77,245
00297,70,0,0,0,71,227
00298,81,0,0,0,81,220
00299,9,0,0,0,9,213
00300,0,0,0,0,0,191
00301,131,4,89,60,131,253
00302,374,0,0,0,374,269
00303,361,0,0,0,361,258
00304,38,0,0,0,38,215
00305,20,0,0,0,20,203
00306,14,0,0,0,14,204
00307,0,0,0,0,0,192
00308,7,0,0,0,7,206
00309,83,0,0,0,83,226
00310,22,0,0,0,22,212
00311,22,0,0,0,22,210
00312,23,0,0,0,23,208
00313,0,0,0,0,0,187
00314,0,0,0,0,0,194
00315,9,0,0,0,9,198
00316,43,0,31,13,42,234
00317,0,0,0,0,0,194
00318,67,0,0,0,67,218
00319,373,153,422,307,439,344
00320,213,204,375,193,274,311
00321,15,0,0,0,15,207
00322,,0,0,0,0,206
00323,12,0,0,0,12,213
00324,52,0,0,0,52,215
00325,1,0,0,0,1,198
00326,0,0,0,0,0,192
00327,0,0,0,0,0,192
00328,44,0,0,0,51,218
00329,12,0,0,0,16,207
00330,3,0,0,0,3,209
00331,9,0,0,0,9,207
00332,223,10,141,122,230,271
00333,66,6,43,43,67,234
00334,223,10,141,122,230,268
00335,32,0,0,0,33,213
00336,223,10,141,122,230,272
00337,25,0,0,0,27,209
00338,223,10,141,122,230,264
00339,91,4,59,49,94,243
00340,223,10,141,122,230,266
00341,37,1,17,28,39,234
00342,11,0,0,0,11,201
00343,101,25,91,109,98,257
00344,373,489,663,530,427,352
00345,373,229,520,293,439,335
00346,213,204,375,193,274,307
00347,98,29,81,84,103,252
00348,159,68,170,154,188,286
00349,98,34,86,83,102,252
00350,3862,14921,17664,23917,4415,3685
00352,3458,589,4096,991,3449,603
00353,3437,654,4236,1027,3425,648
00354,6122,61397,25346,180596,5776,20487
00355,131,0,0,0,131,232
00356,3620,31,2970,2715,3478,759
00357,3775,24,3028,2970,3632,813
00358,368,3,280,318,350,314
00359,696,0,535,467,657,377
00360,2675,7,2215,1726,2562,582
00361,326,0,0,0,326,263
00362,57,0,0,0,57,218
00363,60,0,0,0,70,234
00364,37,0,0,0,37,208
00365,38,0,0,0,38,216
00366,135,7,97,153,112,272
00367,135,7,96,152,112,268
00368,32285,11201,34401,56529,28051,59153
00369,50897,17651,53556,89921,43718,168651
00370,68449,23393,73361,106654,61030,293995
00371,34865,41758,108625,56861,30720,173985
00372,1078,28667,32541,1612,1252,2364
00373,1298,46956,53577,1933,1457,3840
00374,38075,56657,126734,80929,33926,210567
00375,57663,1331194,857304,681930,0,TIMEOUT
00376,1288,17104,35952,1732,1610,2705
00377,1006,28838,30765,1403,1196,2005
00378,76713,24284,84374,137482,0,TIMEOUT
00379,126314,6292,74379,100757,0,TIMEOUT
00380,6000,1279657,1341207,8954,0,TIMEOUT
00381,6053,1188861,1373054,8902,0,TIMEOUT
00382,54883,40662,266927,67776,0,TIMEOUT
00383,78891,63656,125897,137530,0,TIMEOUT
00384,548,5246,9154,834,1129,731
00385,574,5254,9881,840,1240,777
00386,36044,11465,41467,54480,31677,71333
00387,56302,27819,170742,107025,0,TIMEOUT
00388,212,1655,2424,318,236,395
00389,200,3968,4068,300,200,413
00390,33551,68226,484542,67629,0,TIMEOUT
00391,52501,25199,260140,94508,0,TIMEOUT
00392,1213,228,38379,1293,1841,2540
00393,1552,636,130900,1889,2360,10515
00394,39875,50641,364534,63106,0,TIMEOUT
00395,82576,38279,96970,149352,0,TIMEOUT
00396,1153,31102,44747,1665,1449,3067
00397,2922,321163,368870,4119,3447,67569
00398,34778,38484,100399,55565,30587,162384
00399,991,27695,30319,1484,1126,2276
00400,37576,27830,77602,58851,33314,134038
00401,789,14998,21705,1136,907,1406
00402,3857,24,2740,3342,3332,854
00403,6373,45,4779,4940,5629,1411
00404,47,0,37,30,45,222
00405,53,0,36,28,51,236
00406,94,1,80,35,91,237
00407,101,0,72,46,99,248
00408,10,0,0,0,10,199
00409,10,0,0,0,10,210
00410,1759,16836,12078,31981,1725,1838
00411,1449,56,1337,1169,1339,444
00412,4451,136,4067,3311,4252,854
00413,5710,227,5390,3931,5474,1100
00414,50,73,580,76,54,274
00415,47687,31529,80842,56863,43156,152674
00416,68844,46533,142581,92126,61313,528612
00417,343,21466,22793,523,343,917
00418,395,25021,38618,600,399,1295
00419,5733,1038024,1237394,102407,6236,71784
00420,6384,93879,134344,37537,6528,14172
00421,1282,9774,45089,2494,1845,3413
00422,674,9358,25702,3912,942,1682
00423,1333,31,1048,1341,1222,460
00424,2235,3090,32855,2914,2209,2033
00425,38375,3157,32300,52377,32586,67656
00426,69312,30065,59825,152185,56626,451350
00428,0,0,0,0,0,196
00429,0,0,0,0,0,189
00430,345,6,341,755,473,342
00431,345,6,319,745,473,356
00432,375,0,153,611,294,328
00433,379,1,139,604,295,320
00434,21034,0,0,0,21034,909
00435,9082,27,8765,1613,9075,1308
00436,25552,132682,424770,51496,27170,246549
00437,133869,633,93319,69407,0,TIMEOUT
00438,3024,5270,167082,2998,4677,23576
00439,0,0,0,0,0,196
00440,0,0,0,0,0,192
00441,0,0,0,0,0,202
00442,0,0,0,0,0,187
