NAME,BODY_AVG,BODY_MAX,HEAD_AVG,HEAD_MAX,COUNT
00195,1.0764331210191083,2,1.0,1,157
00196,1.0,1,1.0,1,36
00197,1.2,2,1.0,1,80
00198,1.0,1,1.0,1,85
00200,1.0,1,1.0,1,42
00201,1.52,2,1.0,1,25
00202,1.0,1,1.0,1,105
00203,1.0,1,1.0,1,21
00204,1.0,1,1.0,1,67
00205,2.0,2,1.0,1,5
00206,1.7777777777777777,2,1.0,1,9
00207,1.7777777777777777,2,1.0,1,9
00208,2.0,2,1.0,1,9
00209,1.8333333333333333,2,1.0,1,30
00210,1.36,2,1.0,1,25
00211,1.191304347826087,2,1.0,1,115
00212,1.6666666666666667,2,1.0,1,3
00213,1.6666666666666667,2,1.0,1,3
00214,1.56,2,1.0,1,25
00215,1.4285714285714286,2,1.0,1,14
00216,2.0,2,1.0,1,7
00217,2.0,2,1.0,1,8
