NAME,NFTGD_NB,FTGD_NB,SUBSUMED,NEW_FTGD_NB,NEW_NFTGD_NB,NEW_OUTPUT_SIZE,OUTPUT_SIZE,BODY_SK_ATOMS_MAX,EVOL_TIME,SUMB_TIME,TIME
00065,3,12,2,0,2,0,12,N/A,8,2,73
00066,1,20,0,0,0,0,20,N/A,3,0,63
00067,0,24,0,0,0,0,24,N/A,0,0,41
00068,2,33,0,0,0,0,33,N/A,3,0,67
00069,1,8,0,0,0,0,8,N/A,3,0,62
00070,0,42,0,0,0,0,42,N/A,0,0,42
00071,1,14,0,0,0,0,14,N/A,3,0,63
00072,1,31,0,0,0,0,31,N/A,3,0,66
00073,6,77,2,3,0,1,78,N/A,14,2,85
00074,0,21,0,0,0,0,21,N/A,0,0,41
00075,2,125,0,1,0,1,126,N/A,3,2,87
00076,0,186,0,0,0,0,186,N/A,0,0,68
00077,0,4,0,0,0,0,4,N/A,0,0,37
00078,43,715,234,349,215,330,1045,N/A,138,16,318
00079,2,29,0,0,0,0,29,N/A,3,0,66
00080,0,26,0,0,0,0,26,N/A,0,0,41
00081,93,679,1,0,1,0,679,N/A,21,2,158
00082,200,263,457,2,457,2,265,N/A,92,21,262
00083,0,15,0,0,0,0,15,N/A,0,0,39
00084,0,4,0,0,0,0,4,N/A,0,0,37
00085,0,2,0,0,0,0,2,N/A,0,0,36
00086,0,0,0,0,0,0,0,N/A,0,0,13
00087,0,77,0,0,0,0,77,N/A,0,0,48
00088,0,105,0,0,0,0,105,N/A,0,0,51
00089,0,87,0,0,0,0,87,N/A,0,0,48
00090,0,66,0,0,0,0,66,N/A,0,0,46
00091,0,13,0,0,0,0,13,N/A,0,0,39
00092,0,32,0,0,0,0,32,N/A,0,0,41
00093,0,216,0,0,0,0,216,N/A,0,0,71
00094,17,138,14,13,12,11,149,N/A,15,4,107
00095,0,63,0,0,0,0,63,N/A,0,0,46
00096,0,0,0,0,0,0,0,N/A,0,0,14
00097,0,0,0,0,0,0,0,N/A,0,0,13
00098,0,0,0,0,0,0,0,N/A,0,0,13
00099,0,0,0,0,0,0,0,N/A,0,0,13
00100,0,0,0,0,0,0,0,N/A,0,0,13
00101,0,0,0,0,0,0,0,N/A,0,0,13
00102,0,0,0,0,0,0,0,N/A,0,0,14
00103,0,259,0,0,0,0,259,N/A,0,0,72
00104,0,1118,0,0,0,0,1118,N/A,0,0,113
00105,0,11,0,0,0,0,11,N/A,0,0,38
00106,4,43,2,0,2,0,43,N/A,13,2,83
00107,0,22,0,0,0,0,22,N/A,0,0,40
00108,0,16,0,0,0,0,16,N/A,0,0,39
00109,0,83,0,0,0,0,83,N/A,0,0,48
00110,177,244,391,1,391,1,245,N/A,83,18,245
00111,0,43,0,0,0,0,43,N/A,0,0,43
00112,20,113,34,19,26,11,124,N/A,31,5,123
00113,12,24,0,0,0,0,24,N/A,5,0,70
00114,24,25,66,62,69,53,78,N/A,74,10,169
00115,0,216,0,0,0,0,216,N/A,0,0,69
00116,11,30,10,17,8,15,45,N/A,28,4,101
00117,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4,ERROR
00118,19,89,138,37,128,17,106,N/A,80,11,191
00119,0,3,0,0,0,0,3,N/A,0,0,37
00120,10,53,25,14,14,3,56,N/A,24,4,110
00121,0,0,0,0,0,0,0,N/A,0,0,14
00122,0,2,0,0,0,0,2,N/A,0,0,36
00123,0,0,0,0,0,0,0,N/A,0,0,14
00124,0,0,0,0,0,0,0,N/A,0,0,14
00125,0,0,0,0,0,0,0,N/A,0,0,14
00126,0,0,0,0,0,0,0,N/A,0,0,13
00127,0,0,0,0,0,0,0,N/A,0,0,13
00128,0,1,0,0,0,0,1,N/A,0,0,37
00129,0,13,0,0,0,0,13,N/A,0,0,39
00130,0,3,0,0,0,0,3,N/A,0,0,36
00131,0,0,0,0,0,0,0,N/A,0,0,14
00132,0,18,0,0,0,0,18,N/A,0,0,39
00133,0,10,0,0,0,0,10,N/A,0,0,38
00134,0,0,0,0,0,0,0,N/A,0,0,13
00135,0,55,0,0,0,0,55,N/A,0,0,45
00136,0,48,0,0,0,0,48,N/A,0,0,44
00137,0,158,0,0,0,0,158,N/A,0,0,66
