NAME,AXIOM_NB,OUTPUT_SIZE,TIME
00511,614,638,450
00512,823,1289,575
00513,347,331,376
00514,347,331,405
00515,3232,3105,825
00516,7989,7989,788
00517,11177,11177,2177
00518,9363,0,TIMEOUT
00519,166,143,725
00520,167,144,499
00521,10916,10908,8167
00522,4402,4082,1378
00523,4402,4082,1368
00524,0,0,267
00525,0,0,228
00526,473,355,412
00527,506,499,411
00528,0,0,253
00529,0,0,239
00530,10612,10611,2029
00531,11846,11840,1908
00532,49670,43937,204076
00533,85832,0,TIMEOUT
00534,630,630,2585
00535,4622,10681,495833
00536,43099,0,TIMEOUT
00537,62949,0,TIMEOUT
00538,204,204,838
00539,208,211,569
00540,14906,14836,19551
00541,37703,0,TIMEOUT
00542,18,18,330
00543,18,18,292
00544,9243,8699,4964
00545,9627,9076,4471
00546,2727,2487,769
00547,2732,2490,733
00548,4454,4441,696
00549,458,458,331
00550,856,853,403
00551,0,0,244
00552,0,0,236
00553,110363,0,TIMEOUT
00554,132350,0,TIMEOUT
00555,1044,1062,1063
00556,1948,2338,795
00558,0,0,237
00559,0,0,230
00560,138,136,311
00561,762,781,549
00562,767,764,416
00563,1058,1046,476
00564,0,0,233
00565,0,0,234
00566,52406,50911,60878
00567,516,516,350
00568,516,516,478
00569,2652,2517,1548
00570,1140,1132,470
00571,1396,1389,462
00572,76599,66957,566197
00573,128026,0,TIMEOUT
00574,736,1178,1339
00575,700,1124,1067
00576,92,90,317
00577,31,16,265
00578,1333,1223,510
00579,2235,2214,1388
00580,280,280,340
00581,321,321,390
00582,803,743,461
00583,0,0,257
00584,0,0,231
00585,0,0,245
00586,0,0,229
00587,0,0,226
00588,0,0,236
00589,1051,988,451
00590,614,681,403
00591,2598,2566,554
00592,3520,3444,645
00593,2241,2172,587
00594,2161,2140,548
00595,2918,2904,681
00596,2203,2180,854
00597,2961,2943,663
00598,5,3,287
00599,5,3,259
00600,2160,2139,523
00601,0,0,263
00602,0,0,232
00603,20,20,239
00604,22,32,250
00605,734,659,471
00606,734,659,428
00607,0,0,226
00608,0,0,230
00609,,0,232
00610,81,81,298
00611,24,24,260
00612,81,81,297
00613,84,94,281
00614,24,24,269
00615,24,24,255
00616,53,64,282
00617,52,63,267
00618,33,44,263
00619,30,31,1006
00620,49,58,274
00621,51,70,269
00622,29,38,246
00623,29,38,257
00624,998,977,575
00625,0,0,238
00626,2581,2551,1836
00627,2793,2576,754
00628,2581,2550,1720
00629,2793,2577,873
00630,2581,2551,1995
00631,3225,3166,2051
00632,2185,2273,1605
00633,3225,3168,2176
00634,0,0,223
00635,0,0,1233
00636,2585,2745,746
00637,259,237,435
00638,297,292,415
00639,607,568,419
00640,802,736,485
00641,0,0,239
00642,0,0,227
00643,456,456,416
00644,638,638,341
00645,3685,3274,964
00646,4833,4347,1216
00647,36500,36500,1584
00648,236,234,326
00649,947,904,485
00650,947,904,509
00651,0,0,240
00652,0,0,229
00653,0,0,228
00654,0,0,232
00655,27,27,263
00656,27,27,280
00657,4223,4147,5546
00658,25787,0,TIMEOUT
00659,12342,12341,1632
00660,21656,0,TIMEOUT
00661,0,0,276
00662,0,0,235
00663,0,0,228
00664,0,0,232
00665,3270,3195,753
00666,2418,2356,630
00667,1687,1568,582
00669,8410,8280,2372
00670,12772,9693,9366
00671,71,71,275
00672,71,71,278
00673,2044,2015,1494
00674,2349,2349,516
00675,90959,0,TIMEOUT
00676,1662,3277,13644
00677,1282,2670,6416
00678,18511,15765,35258
00679,472,751,1128
00680,18167,15165,15367
00681,57,147,363
00682,74647,62041,470621
00683,68,115,338
00684,74471,0,TIMEOUT
00685,755,1046,3131
00686,143120,0,TIMEOUT
00687,92,248,656
00688,0,0,244
00689,1505,1297,745
00690,2266,2017,638
00691,276,276,330
00692,297,297,317
00693,0,0,234
00694,7831,7378,1656
00695,10550,10022,2456
00696,7831,7383,1663
00697,10550,10030,2444
00698,,0,22062
00699,,0,52423
00700,2076,3378,177997
00701,1820,3505,59005
00702,1561,2333,33353
00703,2347,4332,249396
00704,772,1129,4218
00705,715,1307,6221
00706,676,1006,4090
00707,535,805,2294
00708,282,430,803
00709,273,405,680
00710,473,751,2276
00711,532,776,1839
00712,1160,2003,11980
00713,878,1525,14077
00714,386,647,1365
00715,1016,1592,21128
00716,1243,2032,35859
00717,46,52,299
00718,222,314,527
00719,907,1545,13923
00720,442,590,2267
00721,433,670,1356
00722,899,1299,4142
00723,472,750,1650
00724,1773,2627,40673
00725,47,55,294
00726,669,953,1890
00727,1816,2984,54588
00728,1586,2624,30866
00729,146,211,392
00730,43,48,321
00731,319,519,1838
00732,791,1239,6997
00733,1376,2293,47886
00734,190,289,448
00735,575,910,2570
00736,53,62,295
00737,453,675,1590
00738,368,519,862
00739,503,783,1650
00740,603,932,2511
00741,1472,2593,52383
00742,387,569,959
00743,1667,2193,14372
00744,529,775,1518
00745,662,1051,3926
00746,956,1642,13049
00747,854,1375,7412
00748,492,709,1453
00749,984,1452,7006
