NAME,NFTGD_NB,FTGD_NB,SUBSUMED,NEW_FTGD_NB,NEW_NFTGD_NB,NEW_OUTPUT_SIZE,OUTPUT_SIZE,BODY_SK_ATOMS_MAX,EVOL_TIME,SUMB_TIME,TIME
00138,0,384,0,0,0,0,384,N/A,0,0,93
00139,0,145,0,0,0,0,145,N/A,0,0,61
00140,0,511,0,0,0,0,511,N/A,0,0,107
00141,0,116,0,0,0,0,116,N/A,0,0,67
00142,0,604,0,0,0,0,604,N/A,0,0,113
00143,0,187,0,0,0,0,187,N/A,0,0,77
00144,0,2168,0,0,0,0,2168,N/A,0,0,266
00145,0,60,0,0,0,0,60,N/A,0,0,59
00146,0,1211,0,0,0,0,1211,N/A,0,0,193
00147,0,4,0,0,0,0,4,N/A,0,0,36
00148,0,629,0,0,0,0,629,N/A,0,0,118
00149,0,213,0,0,0,0,213,N/A,0,0,75
00150,0,84,0,0,0,0,84,N/A,0,0,66
00151,48,285,104295,8434,103439,39,324,N/A,20748,18941,41125
00152,0,22,0,0,0,0,22,N/A,0,0,45
00153,24,194,20,0,20,0,194,N/A,49,3,153
00154,0,6,0,0,0,0,6,N/A,0,0,38
00155,0,86,0,0,0,0,86,N/A,0,0,67
00156,0,0,0,0,0,0,0,N/A,0,0,13
00157,0,438,0,0,0,0,438,N/A,0,0,93
00159,0,316,0,0,0,0,316,N/A,0,0,88
00161,0,0,0,0,0,0,0,N/A,0,0,13
00162,0,9,0,0,0,0,9,N/A,0,0,38
00163,0,31,0,0,0,0,31,N/A,0,0,55
00164,3,32,1,1,1,1,33,N/A,24,3,130
00165,0,125,0,0,0,0,125,N/A,0,0,73
00166,0,10,0,0,0,0,10,N/A,0,0,39
00167,12,459,106,10,111,1,460,N/A,129,10,292
00168,0,47,0,0,0,0,47,N/A,0,0,62
00169,22,183,41,5,42,0,183,N/A,55,5,181
00170,9,122,9,4,5,0,122,N/A,18,2,107
00171,12,65,26,2,28,2,67,N/A,63,4,156
00172,108,252,41553,3291,40597,264,516,N/A,4418,1997,6842
00173,120,98,392,127,292,29,127,N/A,269,32,452
00174,1776,4425,73198,0,73827,0,4425,N/A,586003,10263,TIMEOUT
00175,0,216,0,0,0,0,216,N/A,0,0,76
00176,30,81,106,42,113,28,109,N/A,105,18,219
00177,0,357,0,0,0,0,357,N/A,0,0,92
00178,0,46,0,0,0,0,46,N/A,0,0,57
00179,0,25,0,0,0,0,25,N/A,0,0,45
00180,0,0,0,0,0,0,0,N/A,0,0,13
00181,0,0,0,0,0,0,0,N/A,0,0,13
00182,0,0,0,0,0,0,0,N/A,0,0,13
00183,0,0,0,0,0,0,0,N/A,0,0,13
00184,0,0,0,0,0,0,0,N/A,0,0,13
00185,0,0,0,0,0,0,0,N/A,0,0,13
00186,0,0,0,0,0,0,0,N/A,0,0,12
00187,0,0,0,0,0,0,0,N/A,0,0,13
00188,0,0,0,0,0,0,0,N/A,0,0,13
00189,0,7,0,0,0,0,7,N/A,0,0,40
00190,0,12,0,0,0,0,12,N/A,0,0,40
00191,0,0,0,0,0,0,0,N/A,0,0,13
00192,0,0,0,0,0,0,0,N/A,0,0,13
00193,0,116,0,0,0,0,116,N/A,0,0,58
00194,0,0,0,0,0,0,0,N/A,0,0,13
00195,0,155,0,0,0,0,155,N/A,0,0,70
00196,0,36,0,0,0,0,36,N/A,0,0,55
00197,0,80,0,0,0,0,80,N/A,0,0,64
00198,0,85,0,0,0,0,85,N/A,0,0,63
00199,0,0,0,0,0,0,0,N/A,0,0,13
00200,0,42,0,0,0,0,42,N/A,0,0,57
00201,0,25,0,0,0,0,25,N/A,0,0,47
00202,0,165,0,0,0,0,165,N/A,0,0,71
00203,0,21,0,0,0,0,21,N/A,0,0,42
00204,0,67,0,0,0,0,67,N/A,0,0,60
00205,0,5,0,0,0,0,5,N/A,0,0,39
00206,0,8,0,0,0,0,8,N/A,0,0,39
00207,0,8,0,0,0,0,8,N/A,0,0,38
00208,0,9,0,0,0,0,9,N/A,0,0,41
00209,18,35,0,0,0,0,35,N/A,19,0,100
00210,6,22,15,0,16,0,22,N/A,26,3,106
00211,0,106,0,0,0,0,106,N/A,0,0,64
00212,2,3,0,0,0,0,3,N/A,13,0,80
00213,2,4,0,0,0,0,4,N/A,12,0,82
00214,11,25,6,0,6,0,25,N/A,22,2,103
00215,7,13,1,0,2,0,13,N/A,20,2,98
00216,0,7,0,0,0,0,7,N/A,0,0,38
00217,1,9,0,0,0,0,9,N/A,21,0,81
00218,6,11,5,1,5,1,12,N/A,34,2,103
00219,0,18,0,0,0,0,18,N/A,0,0,43
00220,2,5,0,0,0,0,5,N/A,12,0,82
00221,1,16,2,0,2,0,16,N/A,22,2,88
00222,5,51,5,0,5,0,51,N/A,17,2,100
00223,4,11,0,0,0,0,11,N/A,24,0,87
00224,2,7,1,0,1,0,7,N/A,14,2,93
00225,0,3,0,0,0,0,3,N/A,0,0,37
00226,0,5,0,0,0,0,5,N/A,0,0,38
00227,0,6,0,0,0,0,6,N/A,0,0,38
00228,0,12,0,0,0,0,12,N/A,0,0,42
00229,2,37,5,2,3,0,37,N/A,16,2,93
00230,2,5,0,0,0,0,5,N/A,12,0,80
00231,0,4,0,0,0,0,4,N/A,0,0,37
00232,0,38,0,0,0,0,38,N/A,0,0,48
00233,1,3,0,0,0,0,3,N/A,12,0,81
00234,0,8,0,0,0,0,8,N/A,0,0,40
00235,6,21,5,0,6,0,21,N/A,21,2,101
00236,6,23,3,0,3,0,23,N/A,17,2,93
00237,1,2,0,0,0,0,2,N/A,10,0,65
00238,5,15,11,1,11,1,16,N/A,27,3,112
00239,0,215,0,0,0,0,215,N/A,0,0,83
00240,0,51,0,0,0,0,51,N/A,0,0,63
00241,1,29,5,2,5,1,30,N/A,18,2,97
00242,5,19,0,0,0,0,19,N/A,23,0,88
00243,0,83,0,0,0,0,83,N/A,0,0,64
00244,0,0,0,0,0,0,0,N/A,0,0,13
00245,0,0,0,0,0,0,0,N/A,0,0,13
00246,0,0,0,0,0,0,0,N/A,0,0,13
00247,0,0,0,0,0,0,0,N/A,0,0,13
00248,0,101,0,0,0,0,101,N/A,0,0,55
00249,0,97,0,0,0,0,97,N/A,0,0,54
00250,0,111,0,0,0,0,111,N/A,0,0,58
00251,0,104,0,0,0,0,104,N/A,0,0,56
00252,0,107,0,0,0,0,107,N/A,0,0,65
00253,0,103,0,0,0,0,103,N/A,0,0,57
00254,0,164,0,0,0,0,164,N/A,0,0,72
00255,0,17,0,0,0,0,17,N/A,0,0,42
00256,0,65,0,0,0,0,65,N/A,0,0,61
00257,0,0,0,0,0,0,0,N/A,0,0,13
00258,0,0,0,0,0,0,0,N/A,0,0,13
