NAME,NFTGD_NB,FTGD_NB,SUBSUMED,NEW_FTGD_NB,NEW_NFTGD_NB,NEW_OUTPUT_SIZE,OUTPUT_SIZE,EVOL_TIME,TIME
00240,0,51,0,0,0,0,51,0,88
00241,1,28,3,2,4,1,29,2,97
00242,5,16,0,0,0,0,16,4,136
00243,0,83,0,0,0,0,83,0,131
00244,0,0,0,0,0,0,0,0,45
00245,0,0,0,0,0,0,0,0,45
00246,0,0,0,0,0,0,0,0,44
00247,0,0,0,0,0,0,0,0,78
00248,0,101,0,0,0,0,101,0,124
00249,0,97,0,0,0,0,97,0,88
00250,0,111,0,0,0,0,111,0,156
00251,0,104,0,0,0,0,104,0,136
00252,0,107,0,0,0,0,107,0,97
00253,0,103,0,0,0,0,103,0,84
00254,0,164,0,0,0,0,164,0,105
00255,0,17,0,0,0,0,17,0,71
00256,0,65,0,0,0,0,65,0,119
00257,0,0,0,0,0,0,0,0,46
00258,0,0,0,0,0,0,0,0,82
00259,0,6,0,0,0,0,6,0,70
00260,0,0,0,0,0,0,0,0,98
00261,0,1,0,0,0,0,1,0,83
00262,0,1,0,0,0,0,1,0,77
00263,0,0,0,0,0,0,0,0,45
00264,0,2,0,0,0,0,2,0,89
00265,0,0,0,0,0,0,0,0,45
00266,0,17,0,0,0,0,17,0,84
00267,4,7,0,0,0,0,7,1,83
00268,0,3,0,0,0,0,3,0,61
00269,0,72,0,0,0,0,72,0,92
00270,0,63,0,0,0,0,63,0,99
00271,0,65,0,0,0,0,65,0,97
00272,0,77,0,0,0,0,77,0,88
00273,0,71,0,0,0,0,71,0,95
00274,0,94,0,0,0,0,94,0,105
00275,0,127,0,0,0,0,127,0,83
00276,0,13,0,0,0,0,13,0,84
00277,0,101,0,0,0,0,101,0,95
00278,0,0,0,0,0,0,0,0,47
00279,26,168,13,14,30,12,180,5,150
00280,0,257,0,0,0,0,257,0,148
00281,26,345,223,127,271,19,364,45,253
00282,137,883,N/A,N/A,N/A,N/A,N/A,N/A,ERROR
00283,173,960,N/A,N/A,N/A,N/A,N/A,N/A,ERROR
00284,175,1222,N/A,N/A,N/A,N/A,N/A,N/A,ERROR
00285,132358,46602,122939,157199,337150,4010,50612,4710,TIMEOUT
00286,27922,32979,12352,13961,78879,6409,39388,1156,41297
00287,0,25,0,0,0,0,25,0,81
00288,0,84,0,0,0,0,84,0,83
00289,0,35,0,0,0,0,35,0,82
00290,12,136,22,32,28,5,141,7,181
00292,0,31,0,0,0,0,31,0,74
00293,16,2083,0,1,0,1,2084,2,196
00294,0,41,0,0,0,0,41,0,78
00295,0,42,0,0,0,0,42,0,96
00296,19,66,54,28,54,2,68,21,181
00297,0,71,0,0,0,0,71,0,94
00298,0,81,0,0,0,0,81,0,87
00299,0,9,0,0,0,0,9,0,74
00300,0,0,0,0,0,0,0,0,44
00301,3,129,1,3,0,2,131,1,112
00302,0,374,0,0,0,0,374,0,141
00303,0,361,0,0,0,0,361,0,168
00304,0,38,0,0,0,0,38,0,82
00305,0,20,0,0,0,0,20,0,76
00306,0,14,0,0,0,0,14,0,111
00307,0,0,0,0,0,0,0,0,50
00308,0,7,0,0,0,0,7,0,100
00309,0,83,0,0,0,0,83,0,92
00310,0,22,0,0,0,0,22,0,71
00311,0,22,0,0,0,0,22,0,86
00312,0,23,0,0,0,0,23,0,71
00313,0,0,0,0,0,0,0,0,44
00314,0,0,0,0,0,0,0,0,47
00315,0,9,0,0,0,0,9,0,102
00316,1,42,0,0,0,0,42,0,127
00317,0,0,0,0,0,0,0,0,61
00318,0,67,0,0,0,0,67,0,105
00319,188,243,1167,1369,744,347,564,78,334
00320,125,146,751,917,267,218,338,51,258
00321,0,15,0,0,0,0,15,0,75
00322,0,1697,0,0,0,0,1697,0,260
00323,0,12,0,0,0,0,12,0,83
00324,0,48,0,0,0,0,48,0,99
00325,0,1,0,0,0,0,1,0,91
00326,0,0,0,0,0,0,0,0,51
00327,0,0,0,0,0,0,0,0,45
00328,0,51,0,0,0,0,51,0,114
00329,0,16,0,0,0,0,16,0,113
00330,0,3,0,0,0,0,3,0,61
00331,0,9,0,0,0,0,9,0,124
00332,9,228,10,9,13,2,230,2,274
00333,5,66,6,5,6,1,67,2,126
00334,9,228,10,9,13,2,230,2,152
00335,0,33,0,0,0,0,33,0,137
00336,9,228,10,9,13,2,230,2,163
00337,0,27,0,0,0,0,27,0,99
00338,9,228,10,9,13,2,230,3,263
00339,4,93,4,4,5,1,94,2,147
00340,9,228,10,9,13,2,230,2,268
00341,2,33,1,3,3,3,36,2,107
00342,0,11,0,0,0,0,11,0,68
00343,4,97,27,4,82,3,100,28,284
00344,188,243,1167,1369,744,347,564,79,334
00345,188,243,1167,1369,744,347,564,73,332
00346,125,146,751,917,267,218,338,59,285
00347,16,98,26,33,29,12,110,29,285
00348,30,159,48,120,66,80,239,17,175
00349,16,98,26,33,29,12,110,15,168
00350,2209,3018,55144,111461,71139,2393,5411,16261,83580
00352,442,3256,19360,81355,2232,18623,21879,6530,59584
00353,442,3235,19360,81355,2232,18623,21858,6691,59975
00354,3001,4648,92758,172945,247480,19049,23697,11284,265227
00355,0,131,0,0,0,0,131,0,143
00356,3438,1901,6,0,899,0,1901,47,1130
00357,3588,1981,6,0,1230,0,1981,55,1024
00358,202,267,46,0,611,0,267,56,380
00359,1030,181,0,0,34,0,181,9,373
00360,2118,1616,32,0,2376,0,1616,172,984
00361,0,326,0,0,0,0,326,0,274
00362,0,57,0,0,0,0,57,0,170
00363,0,70,0,0,0,0,70,0,146
00364,0,37,0,0,0,0,37,0,146
00365,0,38,0,0,0,0,38,0,125
00366,80,96,7,0,100,0,96,22,260
00367,80,96,7,0,100,0,96,11,171
00368,13314,25628,11825,0,57630,0,25628,600,13879
00369,21956,39919,27304,0,116213,0,39919,1294,54859
00370,24140,56379,28944,0,124947,0,56379,1463,65684
00371,14928,27758,23851,181646,80746,892,28650,10179,TIMEOUT
00372,1114,1077,908,36421,0,708,1785,1684,9270
00373,1336,1297,1031,58622,0,831,2128,2466,20012
00374,16540,30220,24807,168987,85679,715,30935,26571,TIMEOUT
00375,25264,45457,47997,135965,155857,853,46310,23329,TIMEOUT
00376,1388,1286,7720,61813,4,7642,8928,3584,25012
00377,1140,1006,6865,44538,2,6859,7865,2572,17678
00378,42846,58205,76547,208735,306730,0,58205,5622,TIMEOUT
00379,77230,90653,114395,0,454178,0,90653,5692,TIMEOUT
00380,6282,6000,4,462834,0,0,6000,5989,TIMEOUT
00381,6432,6053,3,470260,0,0,6053,5691,TIMEOUT
00382,16756,47281,1782,189578,6852,0,47281,2273,TIMEOUT
00383,27438,65847,3228,163647,8893,0,65847,2007,TIMEOUT
00384,1464,548,831,14747,961,826,1374,1282,4051
00385,1658,573,1514,17766,1180,1335,1907,1929,5891
00386,15118,28570,16072,74968,69798,143,28713,2088,182252
00387,24050,44320,13195,177621,58346,0,44320,2900,TIMEOUT
00388,212,212,138,2972,0,138,350,264,800
00389,200,200,100,4168,0,100,300,318,928
00390,14058,26439,1133,303674,5557,0,26439,3590,TIMEOUT
00391,22558,40960,1044,206416,3790,0,40960,2640,TIMEOUT
00392,1216,1213,4451,336543,40,4424,5637,12371,TIMEOUT
00393,1552,1552,13,278584,12,0,1552,3815,TIMEOUT
00394,18142,31193,6064,278931,25370,0,31193,3801,TIMEOUT
00395,43604,60146,764,269143,2227,0,60146,3405,TIMEOUT
00396,1194,1153,1244,74699,0,1189,2342,2838,26864
00397,2988,2922,37,380925,1,0,2922,5477,TIMEOUT
00398,14838,27696,23060,171424,79873,873,28569,7216,TIMEOUT
00399,1024,991,658,32679,0,612,1603,1237,8220
00400,15998,29907,18019,161524,71533,857,30764,5605,TIMEOUT
00401,846,786,856,28186,0,854,1640,1339,6205
00402,3254,2230,44,0,784,0,2230,42,704
00403,4958,3894,94,0,1426,0,3894,62,1173
00404,4,45,0,0,4,0,45,1,96
00405,8,49,0,0,10,0,49,6,205
00406,4,92,0,0,6,0,92,1,127
00407,8,97,0,0,14,0,97,2,160
00408,0,10,0,0,0,0,10,0,82
00409,0,10,0,0,0,0,10,0,89
00410,948,1338,60109,24341,72459,327,1665,5720,14114
00411,500,1199,126,0,1627,0,1199,57,411
00412,1838,3532,1487,0,7617,0,3532,209,1092
00413,2170,4625,1639,0,8699,0,4625,192,1444
00414,50,50,27,652,0,27,77,67,301
00415,15504,39986,13875,25446,66817,198,40184,1286,74520
00416,24538,56650,29652,46352,126813,227,56877,2703,132165
00417,352,343,170,22961,0,170,513,773,5551
