NAME,NFTGD_NB,FTGD_NB,SUBSUMED,NEW_FTGD_NB,NEW_NFTGD_NB,NEW_OUTPUT_SIZE,OUTPUT_SIZE,EVOL_TIME,SUMB_TIME,TIME
00228,0,12,0,0,0,0,12,0,0,77
00229,2,36,3,2,3,0,36,1,2,102
00230,2,5,0,0,0,0,5,1,0,96
00231,0,4,0,0,0,0,4,0,0,76
00232,0,38,0,0,0,0,38,0,0,82
00233,1,3,0,0,0,0,3,0,0,90
00234,0,8,0,0,0,0,8,0,0,75
00235,6,18,0,0,2,0,18,2,2,102
00236,6,22,0,6,0,0,22,2,0,96
00237,1,2,0,0,0,0,2,1,0,93
00238,5,14,4,1,9,0,14,3,3,102
00239,0,215,0,0,0,0,215,0,0,120
00240,0,51,0,0,0,0,51,0,0,87
00241,1,28,2,2,4,0,28,2,2,97
00242,5,16,0,0,0,0,16,2,0,99
00243,0,83,0,0,0,0,83,0,0,89
00244,0,0,0,0,0,0,0,0,0,50
00245,0,0,0,0,0,0,0,0,0,49
00246,0,0,0,0,0,0,0,0,0,49
00247,0,0,0,0,0,0,0,0,0,51
00248,0,101,0,0,0,0,101,0,0,99
00249,0,97,0,0,0,0,97,0,0,92
00250,0,111,0,0,0,0,111,0,0,97
00251,0,104,0,0,0,0,104,0,0,92
00252,0,107,0,0,0,0,107,0,0,94
00253,0,103,0,0,0,0,103,0,0,96
00254,0,164,0,0,0,0,164,0,0,116
00255,0,17,0,0,0,0,17,0,0,76
00256,0,65,0,0,0,0,65,0,0,90
00257,0,0,0,0,0,0,0,0,0,53
00258,0,0,0,0,0,0,0,0,0,51
00259,0,6,0,0,0,0,6,0,0,74
00260,0,0,0,0,0,0,0,0,0,54
00261,0,1,0,0,0,0,1,0,0,74
00262,0,1,0,0,0,0,1,0,0,75
00263,0,0,0,0,0,0,0,0,0,50
00264,0,2,0,0,0,0,2,0,0,75
00265,0,0,0,0,0,0,0,0,0,49
00266,0,17,0,0,0,0,17,0,0,75
00267,4,7,0,0,0,0,7,1,0,94
00268,0,3,0,0,0,0,3,0,0,70
00269,0,72,0,0,0,0,72,0,0,86
00270,0,63,0,0,0,0,63,0,0,88
00271,0,65,0,0,0,0,65,0,0,86
00272,0,77,0,0,0,0,77,0,0,90
00273,0,71,0,0,0,0,71,0,0,91
00274,0,94,0,0,0,0,94,0,0,90
00275,0,127,0,0,0,0,127,0,0,98
00276,0,13,0,0,0,0,13,0,0,74
00277,0,101,0,0,0,0,101,0,0,95
00278,0,0,0,0,0,0,0,0,0,54
00279,26,168,0,14,19,0,168,4,4,134
00280,0,257,0,0,0,0,257,0,0,112
00281,26,345,185,104,244,11,356,26,15,189
00282,137,884,2357,1025,3190,91,975,153,87,468
00283,173,961,2867,1347,3920,130,1089,148,91,473
00284,175,1224,4067,1552,5407,125,1349,191,166,624
00285,132358,46602,2054476,678013,3219355,25764,72358,30161,371120,422544
00286,27922,32979,12352,13961,78879,6409,39388,1068,1609,5908
00287,0,25,0,0,0,0,25,0,0,79
00288,0,84,0,0,0,0,84,0,0,92
00289,0,35,0,0,0,0,35,0,0,84
00290,12,136,8,15,37,0,136,5,6,134
00292,0,31,0,0,0,0,31,0,0,82
00293,16,2083,0,1,0,0,2083,2,0,221
00294,0,41,0,0,0,0,41,0,0,82
00295,0,42,0,0,0,0,42,0,0,82
00296,19,66,48,28,50,0,66,8,7,132
00297,0,71,0,0,0,0,71,0,0,86
00298,0,81,0,0,0,0,81,0,0,93
00299,0,9,0,0,0,0,9,0,0,79
00300,0,0,0,0,0,0,0,0,0,56
00301,3,129,1,3,0,0,129,1,1,119
00302,0,374,0,0,0,0,374,0,0,122
00303,0,361,0,0,0,0,361,0,0,146
00304,0,38,0,0,0,0,38,0,0,83
00305,0,20,0,0,0,0,20,0,0,81
00306,0,14,0,0,0,0,14,0,0,76
00307,0,0,0,0,0,0,0,0,0,48
00308,0,7,0,0,0,0,7,0,0,75
00309,0,83,0,0,0,0,83,0,0,89
00310,0,22,0,0,0,0,22,0,0,84
00311,0,22,0,0,0,0,22,0,0,79
00312,0,23,0,0,0,0,23,0,0,78
00313,0,0,0,0,0,0,0,0,0,52
00314,0,0,0,0,0,0,0,0,0,51
00315,0,9,0,0,0,0,9,0,0,75
00316,1,42,0,0,0,0,42,0,0,103
00317,0,0,0,0,0,0,0,0,0,49
00318,0,67,0,0,0,0,67,0,0,88
00319,188,243,1161,1251,921,336,553,83,93,377
00320,125,146,720,917,267,209,329,55,57,277
00321,0,15,0,0,0,0,15,0,0,74
00322,0,1697,0,0,0,0,1697,0,0,176
00323,0,12,0,0,0,0,12,0,0,75
00324,0,48,0,0,0,0,48,0,0,84
00325,0,1,0,0,0,0,1,0,0,70
00326,0,0,0,0,0,0,0,0,0,52
00327,0,0,0,0,0,0,0,0,0,49
00328,0,51,0,0,0,0,51,0,0,88
00329,0,16,0,0,0,0,16,0,0,81
00330,0,3,0,0,0,0,3,0,0,73
00331,0,9,0,0,0,0,9,0,0,78
00332,9,228,10,9,13,2,230,2,3,140
00333,5,66,6,5,6,1,67,5,3,118
00334,9,228,10,9,13,2,230,2,4,139
00335,0,33,0,0,0,0,33,0,0,83
00336,9,228,10,9,13,2,230,3,4,142
00337,0,27,0,0,0,0,27,0,0,78
00338,9,228,10,9,13,2,230,2,4,139
00339,4,93,4,4,5,1,94,2,3,124
00340,9,228,10,9,13,2,230,2,3,139
00341,2,33,1,3,3,3,36,2,3,89
00342,0,11,0,0,0,0,11,0,0,77
00343,4,97,25,4,81,1,98,9,9,140
00344,188,243,1161,1253,919,336,553,80,93,366
00345,188,243,1157,1249,918,336,553,90,84,370
00346,125,146,720,917,267,209,329,58,63,297
00347,16,98,20,28,29,6,104,9,7,137
00348,30,159,38,113,66,63,222,14,18,169
00349,16,98,20,28,29,6,104,6,7,131
00350,2209,3019,61243,53082,84624,1038,4057,1818,3243,6121
00352,442,3256,3441476,2186294,2496949,7814,11070,60225,523373,TIMEOUT
00353,442,3235,5182912,1520333,4529836,11900,15135,79979,500163,TIMEOUT
00354,3001,4648,4325331,1681053,3778347,10134,14782,65041,515327,TIMEOUT
00355,0,131,0,0,0,0,131,0,0,103
00356,3438,1901,6,0,899,0,1901,42,30,532
00357,3588,1981,6,0,1230,0,1981,37,59,569
00358,202,267,46,0,611,0,267,26,23,222
00359,1030,181,0,0,34,0,181,8,4,229
00360,2118,1616,32,0,2376,0,1616,78,62,527
00361,0,326,0,0,0,0,326,0,0,115
00362,0,57,0,0,0,0,57,0,0,86
00363,0,70,0,0,0,0,70,0,0,93
00364,0,37,0,0,0,0,37,0,0,81
00365,0,38,0,0,0,0,38,0,0,81
00366,80,96,7,0,100,0,96,10,11,157
00367,80,96,7,0,100,0,96,8,10,149
00368,13314,25628,11825,0,57630,0,25628,611,1095,4015
00369,21956,39919,27304,0,116213,0,39919,973,2094,6229
00370,24140,56379,28944,0,124947,0,56379,1057,1744,6559
00371,14928,27758,268200,326165,331513,617,28375,5847,35111,45529
00372,1114,1077,381,35872,12,176,1253,649,4496,5819
00373,1336,1297,388,57980,0,189,1486,957,11589,13395
00374,16540,30220,1820941,1724367,2250106,1369,31589,47025,534568,TIMEOUT
00375,25264,45457,2108999,1522990,2389872,681,46138,44959,546707,TIMEOUT
00376,1388,1286,8242,61657,1140,7015,8301,1100,7040,9176
00377,1140,1006,6381,43975,1,6376,7382,754,5384,6841
00378,42846,58205,1086206,2719510,1876385,885,59090,45913,527160,TIMEOUT
00379,77230,90653,481905,2033842,1267127,283,90936,32636,544573,TIMEOUT
00380,6282,6000,22,1293729,0,0,6000,18336,573498,TIMEOUT
00381,6432,6053,24,1422757,0,0,6053,19497,570776,TIMEOUT
00382,16756,47281,16139,3866073,51029,0,47281,54703,516198,TIMEOUT
00383,27438,65847,25089,4172176,67378,0,65847,58848,505520,TIMEOUT
00384,1464,548,702,14604,1004,648,1196,416,884,1741
00385,1658,573,1392,17632,1219,1165,1737,473,1027,1996
00386,15118,28570,16092,7745,70350,37,28607,850,1684,5338
00387,24050,44320,3190855,2359654,2135660,11452,55772,56228,524377,TIMEOUT
00388,212,212,32,2866,0,32,244,136,319,685
00389,200,200,0,4068,0,0,200,153,553,921
00390,14058,26439,560996,2412163,543179,2081,28520,40206,543071,TIMEOUT
00391,22558,40960,11761,2249624,49401,0,40960,31776,551488,TIMEOUT
00392,1216,1213,250616,461597,142602,8279,9492,8692,479706,492678
00393,1552,1552,13,495088,40,0,1552,6714,590504,TIMEOUT
00394,18142,31193,107152,1033219,235548,1943,33135,14685,227810,252168
00395,43604,60242,8442,1597297,115096,0,60242,21714,563364,TIMEOUT
00396,1194,1153,674,74129,0,619,1772,1264,13765,16010
00397,2988,2922,5964,498207,433,5799,8721,7090,189800,201496
00398,14838,27696,177570,225356,286374,492,28188,4593,22243,30991
00399,1024,991,169,32176,3,122,1113,736,4098,5446
00400,15998,29907,877924,433177,1059632,696,30603,14337,96628,118897
00401,846,786,472,27802,0,470,1256,635,3600,4793
00402,3254,2230,44,0,784,0,2230,29,25,520
00403,4958,3894,94,0,1426,0,3894,57,36,726
00404,4,45,0,0,4,0,45,1,2,104
00405,8,49,0,0,10,0,49,2,3,108
00406,4,92,0,0,6,0,92,1,2,117
00407,8,97,0,0,14,0,97,2,4,130
00408,0,10,0,0,0,0,10,0,0,77
00409,0,10,0,0,0,0,10,0,0,74
00410,948,1339,31067,11444,49443,222,1561,1144,1355,3184
00411,500,1199,126,0,1627,0,1199,43,38,315
00412,1838,3532,1487,0,7617,0,3532,129,131,754
00413,2170,4625,1639,0,8699,0,4625,176,179,888
00414,50,50,2,627,0,2,52,51,70,265
00415,15504,39986,13655,22903,66767,28,40014,1056,2788,6833
00416,24538,56650,29833,40304,127783,31,56681,1628,5015,11038
00417,352,343,0,22791,0,0,343,385,11402,12168
00418,404,395,2,39006,0,2,397,577,44291,45421
00419,2992,4470,1633090,2500633,1015439,5315,9785,41191,525680,581709
00420,2960,5169,96784,171774,133356,905,6074,3115,10968,16008
00421,1432,1273,286779,365330,123800,3378,4651,6032,48667,57117
00422,840,672,1922,37857,6192,379,1051,891,5489,7047
00423,1238,714,27,0,823,0,714,31,20,319
00424,1456,1463,2218,56637,5596,656,2119,1076,4257,6169
00425,23250,26750,68879,0,270765,0,26750,2182,3328,8902
00426,48842,44891,158237,0,607213,0,44891,3972,9596,19408
00428,0,0,0,0,0,0,0,0,0,52
00429,0,0,0,0,0,0,0,0,0,49
00430,718,178,17,121,134,0,178,34,14,272
00431,718,178,17,121,134,0,178,34,16,265
00432,476,137,0,0,398,0,137,24,17,244
00433,484,137,0,0,402,0,137,23,16,222
00434,0,21034,0,0,0,0,21034,0,0,932
00435,2,9081,0,0,0,0,9081,0,0,514
00436,4616,24014,589461,2527350,550091,16381,40395,48911,526781,TIMEOUT
00437,88494,90904,790,975240,4630,0,90904,12727,574590,TIMEOUT
00438,3024,3024,25,916272,0,0,3024,12422,581097,TIMEOUT
00439,0,0,0,0,0,0,0,0,0,50
00440,0,0,0,0,0,0,0,0,0,51
00441,0,0,0,0,0,0,0,0,0,49
00442,0,0,0,0,0,0,0,0,0,55
00443,27460,0,0,0,0,0,0,0,3,1900
00444,27460,0,0,0,0,0,0,0,3,1794
00445,240,1222,12,0,387,0,1222,17,13,237
00446,328,1659,110,3321,549,88,1747,150,213,642
00447,328,1659,112,3319,554,88,1747,154,218,640
00448,49694,49406,5401828,2317687,4101664,16838,66244,71214,506574,TIMEOUT
00449,414,2013,448,4617,1482,149,2162,206,289,832
00450,716,2838,1426,3252,3077,309,3147,192,234,807
00451,4514,2862,642,0,10718,0,2862,167,222,1011
00452,6326,4116,1271,0,18008,0,4116,290,334,1557
00453,0,157,0,0,0,0,157,0,0,108
00454,138,347,2996,7757,0,2996,3343,282,927,1492
00455,0,990,0,0,0,0,990,0,0,149
00456,0,990,0,0,0,0,990,0,0,153
00457,160,1604,58,0,440,0,1604,17,14,271
00458,160,1604,58,0,440,0,1604,16,14,252
00459,8026,6900,5128,35597,28256,430,7330,918,3133,5417
00460,18046,10382,15282,1410,85439,682,11064,855,1321,4319
00461,18046,10382,15282,1410,85439,682,11064,859,1438,4358
00462,18866,13435,10018,3200661,49441,196,13631,43889,533769,TIMEOUT
00463,18866,10339,4110,3113472,40826,185,10524,40950,537824,TIMEOUT
00464,458,6,0,0,0,0,6,0,0,165
00465,564,132,0,0,349,0,132,31,15,251
00466,0,6603,0,0,0,0,6603,0,0,378
00467,0,6603,0,0,0,0,6603,0,0,389
00468,10,720,0,0,20,0,720,2,3,163
00469,106,878,0,0,144,0,878,9,8,205
00470,88828,75146,44417,0,519574,0,75146,4249,10150,22826
00471,85468,78977,0,0,392451,0,78977,2943,9654,20802
00472,88828,75146,44417,0,519574,0,75146,4129,10721,23185
00473,85468,78977,0,0,392451,0,78977,3152,9738,21569
00474,32,72,3,0,27,0,72,4,5,133
00475,44,83,23,0,70,0,83,7,8,141
00476,3668,2687,228453,477644,129841,2329,5016,7392,43431,54660
00477,313486,10606,0,0,1275,0,10606,302,139,14713
00478,0,937,0,0,0,0,937,0,0,147
00479,645,566,8004,5997,22060,115,681,581,684,1707
00480,653,663,7253,5697,21786,65,728,614,614,1674
00481,0,0,0,0,0,0,0,0,0,49
00482,0,0,0,0,0,0,0,0,0,49
00483,58044,114237,10657,2082289,99725,249,114486,26802,553185,TIMEOUT
00484,75998,101911,354929,2949987,1062211,26,101937,46833,526247,TIMEOUT
00485,5186,5291,4,1141841,44,0,5291,17034,576653,TIMEOUT
00486,15554,46980,15767,3716099,49671,0,46980,55477,517197,TIMEOUT
00487,26030,65519,25636,4288661,68541,0,65519,58422,506531,TIMEOUT
00488,15554,46967,16576,3929833,52307,0,46967,54532,516254,TIMEOUT
00489,19014,52445,15987,3967902,50456,0,52445,54051,513038,TIMEOUT
00490,0,0,0,0,0,0,0,0,0,50
00491,0,0,0,0,0,0,0,0,0,56
00492,0,0,0,0,0,0,0,0,0,49
00493,0,76,0,0,0,0,76,0,0,90
00494,4670,0,0,0,0,0,0,0,0,466
00495,4670,0,0,0,0,0,0,0,1,429
00496,20476,3220,2832,0,30374,0,3220,514,606,2851
00497,16632,23,0,0,0,0,23,4,1,1226
00498,16632,23,0,0,0,0,23,4,1,1135
00499,0,13044,0,0,0,0,13044,0,0,648
00500,3242,1988,2461,634495,2,2381,4369,9059,218780,233645
00501,0,0,0,0,0,0,0,0,0,50
00502,3756,1924,124,1401,8723,2,1926,257,351,1186
00503,0,258,0,0,0,0,258,0,0,118
00504,96,636,123,442,316,35,671,42,36,266
00505,18,151,0,0,0,0,151,1,0,131
00508,99,267,83,45,324,18,285,19,18,200
00509,0,0,0,0,0,0,0,0,0,51
00510,0,0,0,0,0,0,0,0,0,48
00511,700,285,1378,2925,1832,184,469,168,147,566
00512,669,800,2361,984,6172,257,1057,165,138,592
00513,76,309,8,0,182,0,309,11,11,178
00514,76,309,8,0,182,0,309,10,11,180
00515,1740,2366,582,0,3298,0,2366,75,69,537
00516,0,7989,0,0,0,0,7989,0,0,489
00517,0,11177,0,0,0,0,11177,0,0,546
00518,22070,9363,0,3190269,1633,0,9363,45325,531097,TIMEOUT
00519,146,93,0,0,0,0,93,1,0,139
00520,152,91,0,0,0,0,91,1,0,149
00521,14552,3640,0,0,0,0,3640,87,2,1256
00522,8466,169,0,0,230,0,169,14,15,691
00523,8466,169,0,0,230,0,169,10,13,667
00524,0,0,0,0,0,0,0,0,0,50
00525,0,0,0,0,0,0,0,0,0,48
00526,386,280,47,13,517,2,282,27,20,251
00527,1004,4,0,0,0,0,4,0,0,204
00528,0,0,0,0,0,0,0,0,0,48
00529,0,0,0,0,0,0,0,0,0,50
00530,6,10609,0,0,17,0,10609,1,3,647
00531,14,11839,1,0,35,0,11839,2,5,708
00532,23886,38045,70427,38790,276169,48,38093,2634,5907,12732
00533,65814,61062,204329,1350235,746783,0,61062,21449,563997,TIMEOUT
00534,630,630,1,38661,0,0,630,660,18066,19288
00535,16958,4621,33,2642681,0,0,4621,38870,543440,TIMEOUT
00536,13524,36438,17999,217967,65071,134,36572,3399,19721,27015
00537,22178,51961,39206,375318,128477,164,52125,5893,44451,56687
00538,204,204,0,3614,0,0,204,143,525,893
00539,208,208,2,3720,0,2,210,138,499,864
