NAME,NFTGD_NB,FTGD_NB,SUBSUMED,NEW_FTGD_NB,NEW_NFTGD_NB,NEW_OUTPUT_SIZE,OUTPUT_SIZE,TIME
00328,0,52,0,0,0,0,52,139
00329,0,17,0,0,0,0,17,126
00330,0,4,0,0,0,0,4,112
00331,0,10,0,0,0,0,10,121
00332,9,229,41,150,43,2,231,274
00333,5,67,18,40,13,1,68,208
00334,9,229,41,150,43,2,231,249
00335,0,34,0,0,0,0,34,139
00336,9,229,41,150,41,2,231,266
00337,0,28,0,0,0,0,28,131
00338,9,229,41,150,43,2,231,256
00339,4,94,17,28,11,1,95,205
00340,9,229,41,150,41,2,231,257
00341,2,37,6,7,15,4,41,172
00342,0,12,0,0,0,0,12,118
00343,4,196,N/A,N/A,N/A,N/A,N/A,TIMEOUT
00344,12,458,N/A,N/A,N/A,N/A,N/A,TIMEOUT
00345,12,458,N/A,N/A,N/A,N/A,N/A,TIMEOUT
00346,8,263,22,116,0,0,263,228
00347,8,99,54,150,98,6,105,257
00348,12,170,68,309,278,10,180,324
00349,8,99,45,150,95,6,105,283
00350,934,9079,N/A,N/A,N/A,N/A,N/A,TIMEOUT
00352,221,3399,151814,246434,190225578,18432,21831,20229
00353,221,3352,149569,246439,190229385,18432,21784,18334
00354,1417,5262,N/A,N/A,N/A,N/A,N/A,TIMEOUT
00355,0,176,0,0,0,0,176,175
00356,1719,1902,1745,2858516,0,0,1902,2229
00357,1794,1982,2118,3506121,0,0,1982,2306
00358,101,268,646,38956,0,0,268,751
00359,515,182,219,191835,0,0,182,742
00360,1059,1617,3403,2308324,0,0,1617,2961
00361,0,327,0,0,0,0,327,250
00362,0,100,0,0,0,0,100,146
00363,0,115,0,0,0,0,115,202
00364,0,80,0,0,0,0,80,158
00365,0,83,0,0,0,0,83,149
00366,40,97,137,3979,0,0,97,380
00367,40,97,137,3974,0,0,97,377
00368,6657,25632,54641,204663552,0,0,25632,58874
00369,10978,39923,103646,594301326,0,0,39923,190232
00370,12070,56386,111832,707137926,0,0,56386,230346
00371,7464,27762,70757,252191015,27316428,617,28379,72819
00372,557,1078,709,155403,76535,176,1254,2139
00373,668,1298,832,223446,101861,189,1487,3310
00374,8270,30224,108506,308556809,293859693,7317,37541,128122
00375,12632,45462,N/A,N/A,N/A,N/A,N/A,TIMEOUT
00376,694,1287,7647,241420,26808197,7015,8302,5551
00377,570,1007,6860,162940,22013792,6376,7383,4702
00378,21423,58209,N/A,N/A,N/A,N/A,N/A,TIMEOUT
00380,3141,6001,3256,4934511,633096,302,6303,24036
00381,3216,6054,3499,5172936,1149104,534,6588,27397
00382,8378,47285,N/A,N/A,N/A,N/A,N/A,TIMEOUT
00383,13719,65851,N/A,N/A,N/A,N/A,N/A,TIMEOUT
00384,732,549,4924,848219,1068095,648,1197,2413
00385,829,574,9063,1129863,2157830,1165,1738,3217
00386,7559,28574,57007,259420072,1099653,37,28611,74184
00387,12025,44384,N/A,N/A,N/A,N/A,N/A,TIMEOUT
00388,106,213,138,5671,2163,32,245,639
00389,100,201,100,5050,0,0,201,691
00390,7029,26443,122845,222256192,670216642,14646,41089,239000
00391,11279,40964,N/A,N/A,N/A,N/A,N/A,TIMEOUT
00392,608,1214,9204,190767,37102627,8279,9493,10288
00393,776,1553,8504,317410,18655609,5597,7150,13794
00394,9071,31197,79748,363733256,54885340,1943,33139,147977
00395,21788,60472,N/A,N/A,N/A,N/A,N/A,TIMEOUT
00396,597,1154,1189,178503,352479,619,1773,3141
00397,1494,2923,7250,1117306,17929967,5799,8722,12208
00398,7419,27700,69010,249271709,21609911,492,28192,73354
00399,512,992,612,131328,46787,122,1114,2066
00400,7999,29911,71793,291484717,29649134,699,30610,81066
00401,423,787,854,89676,223046,470,1257,2004
00402,1627,2231,1552,2527083,0,0,2231,1847
00403,2479,3895,2709,6148269,0,0,3895,3012
00404,2,115,6,12,0,0,115,281
00405,4,132,14,43,0,0,132,226
00406,2,204,9,17,0,0,204,229
00407,4,224,19,57,0,0,224,249
00408,0,11,0,0,0,0,11,119
00409,0,11,0,0,0,0,11,151
00410,471,2800,N/A,N/A,N/A,N/A,N/A,TIMEOUT
00411,250,1200,1728,234147,0,0,1200,1795
00412,919,3533,7049,3789595,0,0,3533,5645
00413,1085,4627,8145,5185355,0,0,4627,5234
00414,25,51,27,325,36,2,53,359
00415,7752,39990,64440,275615723,1405861,28,40018,85269
00416,12269,56657,115057,729879941,2863687,31,56688,240586
00417,176,344,170,15576,0,0,344,1477
00418,202,396,198,20503,177,2,398,2457
00419,1496,4469,61827,10066453,50587899,5315,9784,53476
00420,1480,5171,24760,10156572,6532517,905,6076,14784
00421,716,1272,9112,575806,8837331,3378,4650,6474
00422,420,673,2397,253137,301183,379,1052,3529
00423,619,715,1193,595426,0,0,715,1147
00424,728,1464,6906,1482724,1529581,656,2120,5939
00425,11625,26751,N/A,N/A,N/A,N/A,N/A,TIMEOUT
00426,24421,44892,N/A,N/A,N/A,N/A,N/A,TIMEOUT
00427,261,787,6745,388601,329582,296,1083,5632
00428,0,1,0,0,0,0,1,115
00429,0,1,0,0,0,0,1,118
00430,359,179,494,142147,0,0,179,523
00431,359,179,494,142105,0,0,179,618
00432,238,138,636,102821,0,0,138,823
00433,242,138,644,106293,0,0,138,666
00434,0,21035,0,0,0,0,21035,1060
00435,1,9082,0,1,0,0,9082,623
00436,2308,24017,284270,21656531,764075193,28839,52856,274221
00437,44247,90905,N/A,N/A,N/A,N/A,N/A,TIMEOUT
00438,1512,3025,20898,1143828,202280975,19386,22411,44257
00439,0,1,0,0,0,0,1,130
00440,0,1,0,0,0,0,1,126
00441,0,1,0,0,0,0,1,116
00442,0,1,0,0,0,0,1,126
00443,13730,1,0,94263315,0,0,1,1516
00444,13730,1,0,94263315,0,0,1,1455
00445,120,1223,480,34474,0,0,1223,617
00446,164,1662,1335,65886,49603,88,1750,1497
00447,164,1662,1283,65886,49572,88,1750,1596
00448,24847,49469,N/A,N/A,N/A,N/A,N/A,TIMEOUT
00449,207,2016,2434,126501,161069,149,2165,2798
00450,341,2885,5397,483925,443912,309,3194,3689
00451,2257,2863,11880,15586809,0,0,2863,6561
00452,3163,4117,19585,34132629,0,0,4117,9842
00453,0,158,0,0,0,0,158,172
00454,69,348,5704,4830,4675043,2996,3344,2227
00455,0,991,0,0,0,0,991,276
00456,0,991,0,0,0,0,991,319
00457,80,1605,460,20601,0,0,1605,847
00458,80,1605,460,20625,0,0,1605,710
00459,4013,6901,28716,60226565,5766744,430,7331,16438
00460,9023,10444,102070,481163770,27982108,682,11126,71666
00461,9023,10444,101295,481273049,27985676,682,11126,74234
00462,9433,13501,N/A,N/A,N/A,N/A,N/A,TIMEOUT
00463,9433,10405,N/A,N/A,N/A,N/A,N/A,TIMEOUT
00464,229,7,0,26335,0,0,7,235
00465,282,133,789,148737,0,0,133,714
00466,0,6604,0,0,0,0,6604,714
00467,0,6604,0,0,0,0,6604,523
00468,5,721,25,90,0,0,721,276
00469,53,879,197,6789,0,0,879,445
00470,44414,75147,N/A,N/A,N/A,N/A,N/A,TIMEOUT
00471,42734,78978,N/A,N/A,N/A,N/A,N/A,TIMEOUT
00472,44414,75147,N/A,N/A,N/A,N/A,N/A,TIMEOUT
00473,42734,78978,N/A,N/A,N/A,N/A,N/A,TIMEOUT
00474,16,73,40,445,0,0,73,289
00475,22,84,66,972,0,0,84,307
00476,1834,2688,4102,2342145,6162917,2329,5017,9046
00477,156743,10607,N/A,N/A,N/A,N/A,N/A,TIMEOUT
00478,0,938,0,0,0,0,938,240
00479,317,659,N/A,N/A,N/A,N/A,N/A,TIMEOUT
00480,320,770,N/A,N/A,N/A,N/A,N/A,TIMEOUT
00481,0,1,0,0,0,0,1,117
00482,0,1,0,0,0,0,1,118
00483,29022,114385,N/A,N/A,N/A,N/A,N/A,TIMEOUT
00485,2593,5292,2840,3437799,225148,160,5452,25778
00486,7777,46984,N/A,N/A,N/A,N/A,N/A,TIMEOUT
00487,13015,65523,N/A,N/A,N/A,N/A,N/A,TIMEOUT
00488,7777,46971,N/A,N/A,N/A,N/A,N/A,TIMEOUT
00489,9507,52446,N/A,N/A,N/A,N/A,N/A,TIMEOUT
00490,0,1,0,0,0,0,1,115
00491,0,1,0,0,0,0,1,206
00492,0,1,0,0,0,0,1,144
00493,0,85,0,0,0,0,85,139
00494,2335,1,0,2727280,0,0,1,441
00495,2335,1,0,2727280,0,0,1,438
00496,10238,3223,37770,242637528,0,0,3223,18393
00497,8316,24,50,34834367,0,0,24,1317
00498,8316,24,50,34834367,0,0,24,1346
00499,0,13045,0,0,0,0,13045,707
00500,1621,1989,3168,1314631,4833536,2381,4370,12339
00501,0,1,0,0,0,0,1,112
00502,1878,1928,10497,11404869,5710,2,1930,6198
00503,0,259,0,0,0,0,259,177
00504,48,641,463,8729,5654,35,676,673
00505,9,152,9,90,0,0,152,210
00506,168,1211,7858,207565,198419,173,1384,6024
00507,287,1558,858855,132285905,3951372,393,1951,218046
00508,50,313,435,9785,4960,18,331,627
00509,0,1,0,0,0,0,1,111
00510,0,1,0,0,0,0,1,109
00511,346,898,N/A,N/A,N/A,N/A,N/A,TIMEOUT
00512,369,2287,10423,860167,485615,216,2503,4327
00513,38,310,208,4862,0,0,310,504
00514,38,310,208,4862,0,0,310,487
00515,870,2367,3533,1873937,0,0,2367,2197
00516,0,7990,0,0,0,0,7990,530
00517,0,11178,0,0,0,0,11178,701
00518,11035,9364,N/A,N/A,N/A,N/A,N/A,TIMEOUT
00519,73,94,8,2957,0,0,94,214
00520,76,92,8,3203,0,0,92,219
00521,7276,3641,7264,52881656,0,0,3641,5481
00522,4233,170,405,10460153,0,0,170,1480
00523,4233,170,405,10460153,0,0,170,1385
00524,0,1,0,0,0,0,1,123
00525,0,1,0,0,0,0,1,108
00526,193,289,632,79807,685,2,291,828
00527,502,5,0,126253,0,0,5,320
00528,0,1,0,0,0,0,1,108
00529,0,1,0,0,0,0,1,114
00530,3,10610,20,47,0,0,10610,769
00531,7,11842,41,206,0,0,11842,864
00532,11943,38046,N/A,N/A,N/A,N/A,N/A,TIMEOUT
00534,315,631,315,49770,0,0,631,2190
00535,8479,4622,3926,35950960,14497836,2436,7058,55355
00536,6762,36442,57409,210809526,5254153,134,36576,84916
00537,11089,51967,106242,605287181,14494200,164,52131,250541
00538,102,205,102,5253,0,0,205,656
00539,104,209,106,5460,185,2,211,693
00540,1654,13266,11449,7750738,3998846,826,14091,15681
00541,9119,27350,N/A,N/A,N/A,N/A,N/A,TIMEOUT
00542,9,19,9,45,0,0,19,221
00543,9,19,9,45,0,0,19,263
00544,5972,3272,31314,107650150,0,0,3272,26628
00545,6276,3352,32847,118960315,0,0,3352,27375
00546,1952,776,3920,5589644,0,0,776,2615
00547,1952,781,3924,5583708,0,0,781,3485
00548,93,4362,593,33500,0,0,4362,762
00549,0,459,0,0,0,0,459,206
00550,3,854,13,32,0,0,854,273
00551,0,1,0,0,0,0,1,113
00552,0,1,0,0,0,0,1,107
00553,50566,90434,N/A,N/A,N/A,N/A,N/A,TIMEOUT
00555,133,992,684,20875,16558,73,1065,1423
00556,496,7152,17422,1511874,1072895,400,7552,8631
00558,0,1,0,0,0,0,1,113
00559,0,1,0,0,0,0,1,115
00560,9,175,110,584,56,3,178,563
00561,107,708,2500,46202,118374,191,899,1243
00562,57,711,202,7777,0,0,711,484
00563,75,984,299,15033,0,0,984,466
00564,0,1,0,0,0,0,1,108
00565,0,1,0,0,0,0,1,149
00566,2504,50250,66895,47294274,4566175,124,50374,41384
00567,0,517,0,0,0,0,517,218
00568,0,517,0,0,0,0,517,238
00569,915,1739,8682,2296194,2036572,741,2480,6673
00570,38,1103,158,3732,0,0,1103,427
00571,39,1358,221,5278,0,0,1358,465
00572,19594,57498,N/A,N/A,N/A,N/A,N/A,TIMEOUT
00574,478,737,2044,115351,1929473,1726,2463,4833
00575,479,701,4536,191434,1862303,1555,2256,4902
00576,26,66,372,3221,3112,24,90,634
00577,15,17,15,240,0,0,17,191
00578,619,715,1193,595417,0,0,715,1113
00579,728,1464,6664,1482728,1529699,656,2120,5825
00580,8,273,18,102,0,0,273,229
00581,5,317,16,69,0,0,317,220
00582,137,638,930,51626,8928,28,666,1257
00583,0,1,0,0,0,0,1,125
00584,0,1,0,0,0,0,1,111
00585,0,0,0,0,0,0,0,79
00586,0,1,0,0,0,0,1,118
00587,0,1,0,0,0,0,1,121
00588,0,1,0,0,0,0,1,106
00589,112,940,369,25783,0,0,940,582
00590,12,637,11629,26958,12040,27,664,7999
00591,69,2530,287,7556,0,0,2530,657
00592,106,3415,945,55692,0,0,3415,1448
00593,192,2050,406,76679,0,0,2050,594
00594,177,1985,577,66124,0,0,1985,719
00595,219,2764,105947,124051,180172357,18432,21196,14816
00596,181,2065,754,83334,0,0,2065,654
00597,223,2847,124095,149911,182198015,18432,21279,15007
00598,4,2,0,10,0,0,2,134
00599,4,2,0,10,0,0,2,152
00600,177,1984,577,66123,0,0,1984,676
00601,0,1,0,0,0,0,1,113
00602,0,1,0,0,0,0,1,112
00603,0,21,0,0,0,0,21,127
00604,0,33,0,0,0,0,33,128
00605,84,651,442,17983,0,0,651,826
00606,84,651,442,17979,0,0,651,712
00607,0,1,0,0,0,0,1,118
00608,0,1,0,0,0,0,1,133
00609,0,203,0,0,0,0,203,179
00610,0,124,0,0,0,0,124,163
00611,0,25,0,0,0,0,25,128
00612,0,124,0,0,0,0,124,164
00613,0,139,0,0,0,0,139,171
00614,0,25,0,0,0,0,25,123
00615,0,25,0,0,0,0,25,147
00616,0,65,0,0,0,0,65,138
00617,0,64,0,0,0,0,64,142
00618,0,45,0,0,0,0,45,132
